 Time,Amplitude
  0.006009, -0.030159
  0.006032, -0.030272
  0.006054, -0.030385
  0.006077, -0.030499
  0.006100, -0.030612
  0.006122, -0.030726
  0.006145, -0.030839
  0.006168, -0.030952
  0.006190, -0.031066
  0.006213, -0.031179
  0.006236, -0.031293
  0.006259, -0.031406
  0.006281, -0.031519
  0.006304, -0.031633
  0.006327, -0.031746
  0.006349, -0.031859
  0.006372, -0.031973
  0.006395, -0.032086
  0.006417, -0.032200
  0.006440, -0.032313
  0.006463, -0.032426
  0.006485, -0.032540
  0.006508, -0.032653
  0.006531, -0.032766
  0.006553, -0.032880
  0.006576, -0.032993
  0.006599, -0.033107
  0.006621, -0.033220
  0.006644, -0.033333
  0.006667, -0.033447
  0.006689, -0.033560
  0.006712, -0.033673
  0.006735, -0.033787
  0.006757, -0.033900
  0.006780, -0.034014
  0.006803, -0.034127
  0.006825,  0.034240
  0.006848,  0.034354
  0.006871,  0.034467
  0.006893,  0.034580
  0.006916,  0.034694
  0.006939,  0.034807
  0.006961,  0.034921
  0.006984,  0.035034
  0.007007,  0.035147
  0.007029,  0.035261
  0.007052,  0.035374
  0.007075,  0.035488
  0.007098,  0.035601
  0.007120,  0.035714
  0.007143,  0.035828
  0.007166,  0.035941
  0.007188,  0.036054
  0.007211,  0.036168
  0.007234,  0.036281
  0.007256,  0.036395
  0.007279,  0.036508
  0.007302,  0.036621
  0.007324,  0.036735
  0.007347,  0.036848
  0.007370,  0.036961
  0.007392,  0.037075
  0.007415,  0.037188
  0.007438,  0.037302
  0.007460,  0.037415
  0.007483,  0.037528
  0.007506,  0.037642
  0.007528,  0.037755
  0.007551,  0.037868
  0.007574,  0.037982
  0.007596,  0.038095
  0.007619,  0.038209
  0.007642,  0.038322
  0.007664,  0.038435
  0.007687,  0.038549
  0.007710,  0.038662
  0.007732,  0.038776
  0.007755,  0.038889
  0.007778,  0.039002
  0.007800,  0.039116
  0.007823,  0.039229
  0.007846,  0.039342
  0.007868,  0.039456
  0.007891,  0.039569
  0.007914,  0.039683
  0.007937,  0.039796
  0.007959, -0.039909
  0.007982, -0.040023
  0.008005, -0.040136
  0.008027, -0.040249
  0.008050, -0.040363
  0.008073, -0.040476
  0.008095, -0.040590
  0.008118, -0.040703
  0.008141, -0.040816
  0.008163, -0.040930
  0.008186, -0.041043
  0.008209, -0.041156
  0.008231, -0.041270
  0.008254, -0.041383
  0.008277, -0.041497
  0.008299, -0.041610
  0.008322, -0.041723
  0.008345, -0.041837
  0.008367, -0.041950
  0.008390, -0.042063
  0.008413, -0.042177
  0.008435, -0.042290
  0.008458, -0.042404
  0.008481, -0.042517
  0.008503, -0.042630
  0.008526, -0.042744
  0.008549, -0.042857
  0.008571, -0.042971
  0.008594, -0.043084
  0.008617, -0.043197
  0.008639, -0.043311
  0.008662, -0.043424
  0.008685, -0.043537
  0.008707, -0.043651
  0.008730, -0.043764
  0.008753, -0.043878
  0.008776, -0.043991
  0.008798, -0.044104
  0.008821, -0.044218
  0.008844, -0.044331
  0.008866, -0.044444
  0.008889, -0.044558
  0.008912, -0.044671
  0.008934, -0.044785
  0.008957, -0.044898
  0.008980, -0.045011
  0.009002, -0.045125
  0.009025, -0.045238
  0.009048, -0.045351
  0.009070, -0.045465
  0.009093,  0.045578
  0.009116,  0.045692
  0.009138,  0.045805
  0.009161,  0.045918
  0.009184,  0.046032
  0.009206,  0.046145
  0.009229,  0.046259
  0.009252,  0.046372
  0.009274,  0.046485
  0.009297,  0.046599
  0.009320,  0.046712
  0.009342,  0.046825
  0.009365,  0.046939
  0.009388,  0.047052
  0.009410,  0.047166
  0.009433,  0.047279
  0.009456,  0.047392
  0.009478,  0.047506
  0.009501,  0.047619
  0.009524,  0.047732
  0.009546,  0.047846
  0.009569,  0.047959
  0.009592,  0.048073
  0.009615,  0.048186
  0.009637,  0.048299
  0.009660,  0.048413
  0.009683,  0.048526
  0.009705,  0.048639
  0.009728,  0.048753
  0.009751,  0.048866
  0.009773,  0.048980
  0.009796,  0.049093
  0.009819,  0.049206
  0.009841,  0.049320
  0.009864,  0.049433
  0.009887,  0.049546
  0.009909,  0.049660
  0.009932,  0.049773
  0.009955,  0.049887
  0.009977,  0.050000
  0.010000,  0.050113
  0.010023,  0.050227
  0.010045,  0.050340
  0.010068,  0.050454
  0.010091,  0.050567
  0.010113,  0.050680
  0.010136,  0.050794
  0.010159,  0.050907
  0.010181,  0.051020
  0.010204,  0.051134
  0.010227,  0.051247
  0.010249, -0.051361
  0.010272, -0.051474
  0.010295, -0.051587
  0.010317, -0.051701
  0.010340, -0.051814
  0.010363, -0.051927
  0.010385, -0.052041
  0.010408, -0.052154
  0.010431, -0.052268
  0.010454, -0.052381
  0.010476, -0.052494
  0.010499, -0.052608
  0.010522, -0.052721
  0.010544, -0.052834
  0.010567, -0.052948
  0.010590, -0.053061
  0.010612, -0.053175
  0.010635, -0.053288
  0.010658, -0.053401
  0.010680, -0.053515
  0.010703, -0.053628
  0.010726, -0.053741
  0.010748, -0.053855
  0.010771, -0.053968
  0.010794, -0.054082
  0.010816, -0.054195
  0.010839, -0.054308
  0.010862, -0.054422
  0.010884, -0.054535
  0.010907, -0.054649
  0.010930, -0.054762
  0.010952, -0.054875
  0.010975, -0.054989
  0.010998, -0.055102
  0.011020, -0.055215
  0.011043, -0.055329
  0.011066, -0.055442
  0.011088, -0.055556
  0.011111, -0.055669
  0.011134, -0.055782
  0.011156, -0.055896
  0.011179, -0.056009
  0.011202, -0.056122
  0.011224, -0.056236
  0.011247, -0.056349
  0.011270, -0.056463
  0.011293, -0.056576
  0.011315, -0.056689
  0.011338, -0.056803
  0.011361, -0.056916
  0.011383,  0.057029
  0.011406,  0.057143
  0.011429,  0.057256
  0.011451,  0.057370
  0.011474,  0.057483
  0.011497,  0.057596
  0.011519,  0.057710
  0.011542,  0.057823
  0.011565,  0.057937
  0.011587,  0.058050
  0.011610,  0.058163
  0.011633,  0.058277
  0.011655,  0.058390
  0.011678,  0.058503
  0.011701,  0.058617
  0.011723,  0.058730
  0.011746,  0.058844
  0.011769,  0.058957
  0.011791,  0.059070
  0.011814,  0.059184
  0.011837,  0.059297
  0.011859,  0.059410
  0.011882,  0.059524
  0.011905,  0.059637
  0.011927,  0.059751
  0.011950,  0.059864
  0.011973,  0.059977
  0.011995,  0.060091
  0.012018,  0.060204
  0.012041,  0.060317
  0.012063,  0.060431
  0.012086,  0.060544
  0.012109,  0.060658
  0.012132,  0.060771
  0.012154,  0.060884
  0.012177,  0.060998
  0.012200,  0.061111
  0.012222,  0.061224
  0.012245,  0.061338
  0.012268,  0.061451
  0.012290,  0.061565
  0.012313,  0.061678
  0.012336,  0.061791
  0.012358,  0.061905
  0.012381,  0.062018
  0.012404,  0.062132
  0.012426,  0.062245
  0.012449,  0.062358
  0.012472,  0.062472
  0.012494,  0.062585
  0.012517, -0.062698
  0.012540, -0.062812
  0.012562, -0.062925
  0.012585, -0.063039
  0.012608, -0.063152
  0.012630, -0.063265
  0.012653, -0.063379
  0.012676, -0.063492
  0.012698, -0.063605
  0.012721, -0.063719
  0.012744, -0.063832
  0.012766, -0.063946
  0.012789, -0.064059
  0.012812, -0.064172
  0.012834, -0.064286
  0.012857, -0.064399
  0.012880, -0.064512
  0.012902, -0.064626
  0.012925, -0.064739
  0.012948, -0.064853
  0.012971, -0.064966
  0.012993, -0.065079
  0.013016, -0.065193
  0.013039, -0.065306
  0.013061, -0.065420
  0.013084, -0.065533
  0.013107, -0.065646
  0.013129, -0.065760
  0.013152, -0.065873
  0.013175, -0.065986
  0.013197, -0.066100
  0.013220, -0.066213
  0.013243, -0.066327
  0.013265, -0.066440
  0.013288, -0.066553
  0.013311, -0.066667
  0.013333, -0.066780
  0.013356, -0.066893
  0.013379, -0.067007
  0.013401, -0.067120
  0.013424, -0.067234
  0.013447, -0.067347
  0.013469, -0.067460
  0.013492, -0.067574
  0.013515, -0.067687
  0.013537, -0.067800
  0.013560, -0.067914
  0.013583, -0.068027
  0.013605, -0.068141
  0.013628, -0.068254
  0.013651,  0.068367
  0.013673,  0.068481
  0.013696,  0.068594
  0.013719,  0.068707
  0.013741,  0.068821
  0.013764,  0.068934
  0.013787,  0.069048
  0.013810,  0.069161
  0.013832,  0.069274
  0.013855,  0.069388
  0.013878,  0.069501
  0.013900,  0.069615
  0.013923,  0.069728
  0.013946,  0.069841
  0.013968,  0.069955
  0.013991,  0.070068
  0.014014,  0.070181
  0.014036,  0.070295
  0.014059,  0.070408
  0.014082,  0.070522
  0.014104,  0.070635
  0.014127,  0.070748
  0.014150,  0.070862
  0.014172,  0.070975
  0.014195,  0.071088
  0.014218,  0.071202
  0.014240,  0.071315
  0.014263,  0.071429
  0.014286,  0.071542
  0.014308,  0.071655
  0.014331,  0.071769
  0.014354,  0.071882
  0.014376,  0.071995
  0.014399,  0.072109
  0.014422,  0.072222
  0.014444,  0.072336
  0.014467,  0.072449
  0.014490,  0.072562
  0.014512,  0.072676
  0.014535,  0.072789
  0.014558,  0.072902
  0.014580,  0.073016
  0.014603,  0.073129
  0.014626,  0.073243
  0.014649,  0.073356
  0.014671,  0.073469
  0.014694,  0.073583
  0.014717,  0.073696
  0.014739,  0.073810
  0.014762,  0.073923
  0.014785, -0.074036
  0.014807, -0.074150
  0.014830, -0.074263
  0.014853, -0.074376
  0.014875, -0.074490
  0.014898, -0.074603
  0.014921, -0.074717
  0.014943, -0.074830
  0.014966, -0.074943
  0.014989, -0.075057
  0.015011, -0.075170
  0.015034, -0.075283
  0.015057, -0.075397
  0.015079, -0.075510
  0.015102, -0.075624
  0.015125, -0.075737
  0.015147, -0.075850
  0.015170, -0.075964
  0.015193, -0.076077
  0.015215, -0.076190
  0.015238, -0.076304
  0.015261, -0.076417
  0.015283, -0.076531
  0.015306, -0.076644
  0.015329, -0.076757
  0.015351, -0.076871
  0.015374, -0.076984
  0.015397, -0.077098
  0.015420, -0.077211
  0.015442, -0.077324
  0.015465, -0.077438
  0.015488, -0.077551
  0.015510, -0.077664
  0.015533, -0.077778
  0.015556, -0.077891
  0.015578, -0.078005
  0.015601, -0.078118
  0.015624, -0.078231
  0.015646, -0.078345
  0.015669, -0.078458
  0.015692, -0.078571
  0.015714, -0.078685
  0.015737, -0.078798
  0.015760, -0.078912
  0.015782, -0.079025
  0.015805, -0.079138
  0.015828, -0.079252
  0.015850, -0.079365
  0.015873, -0.079478
  0.015896, -0.079592
  0.015918,  0.079705
  0.015941,  0.079819
  0.015964,  0.079932
  0.015986,  0.080045
  0.016009,  0.080159
  0.016032,  0.080272
  0.016054,  0.080385
  0.016077,  0.080499
  0.016100,  0.080612
  0.016122,  0.080726
  0.016145,  0.080839
  0.016168,  0.080952
  0.016190,  0.081066
  0.016213,  0.081179
  0.016236,  0.081293
  0.016259,  0.081406
  0.016281,  0.081519
  0.016304,  0.081633
  0.016327,  0.081746
  0.016349,  0.081859
  0.016372,  0.081973
  0.016395,  0.082086
  0.016417,  0.082200
  0.016440,  0.082313
  0.016463,  0.082426
  0.016485,  0.082540
  0.016508,  0.082653
  0.016531,  0.082766
  0.016553,  0.082880
  0.016576,  0.082993
  0.016599,  0.083107
  0.016621,  0.083220
  0.016644,  0.083333
  0.016667,  0.083447
  0.016689,  0.083560
  0.016712,  0.083673
  0.016735,  0.083787
  0.016757,  0.083900
  0.016780,  0.084014
  0.016803,  0.084127
  0.016825,  0.084240
  0.016848,  0.084354
  0.016871,  0.084467
  0.016893,  0.084580
  0.016916,  0.084694
  0.016939,  0.084807
  0.016961,  0.084921
  0.016984,  0.085034
  0.017007,  0.085147
  0.017029,  0.085261
  0.017052, -0.085374
  0.017075, -0.085488
  0.017098, -0.085601
  0.017120, -0.085714
  0.017143, -0.085828
  0.017166, -0.085941
  0.017188, -0.086054
  0.017211, -0.086168
  0.017234, -0.086281
  0.017256, -0.086395
  0.017279, -0.086508
  0.017302, -0.086621
  0.017324, -0.086735
  0.017347, -0.086848
  0.017370, -0.086961
  0.017392, -0.087075
  0.017415, -0.087188
  0.017438, -0.087302
  0.017460, -0.087415
  0.017483, -0.087528
  0.017506, -0.087642
  0.017528, -0.087755
  0.017551, -0.087868
  0.017574, -0.087982
  0.017596, -0.088095
  0.017619, -0.088209
  0.017642, -0.088322
  0.017664, -0.088435
  0.017687, -0.088549
  0.017710, -0.088662
  0.017732, -0.088776
  0.017755, -0.088889
  0.017778, -0.089002
  0.017800, -0.089116
  0.017823, -0.089229
  0.017846, -0.089342
  0.017868, -0.089456
  0.017891, -0.089569
  0.017914, -0.089683
  0.017937, -0.089796
  0.017959, -0.089909
  0.017982, -0.090023
  0.018005, -0.090136
  0.018027, -0.090249
  0.018050, -0.090363
  0.018073, -0.090476
  0.018095, -0.090590
  0.018118, -0.090703
  0.018141, -0.090816
  0.018163, -0.090930
  0.018186,  0.091043
  0.018209,  0.091156
  0.018231,  0.091270
  0.018254,  0.091383
  0.018277,  0.091497
  0.018299,  0.091610
  0.018322,  0.091723
  0.018345,  0.091837
  0.018367,  0.091950
  0.018390,  0.092063
  0.018413,  0.092177
  0.018435,  0.092290
  0.018458,  0.092404
  0.018481,  0.092517
  0.018503,  0.092630
  0.018526,  0.092744
  0.018549,  0.092857
  0.018571,  0.092971
  0.018594,  0.093084
  0.018617,  0.093197
  0.018639,  0.093311
  0.018662,  0.093424
  0.018685,  0.093537
  0.018707,  0.093651
  0.018730,  0.093764
  0.018753,  0.093878
  0.018776,  0.093991
  0.018798,  0.094104
  0.018821,  0.094218
  0.018844,  0.094331
  0.018866,  0.094444
  0.018889,  0.094558
  0.018912,  0.094671
  0.018934,  0.094785
  0.018957,  0.094898
  0.018980,  0.095011
  0.019002,  0.095125
  0.019025,  0.095238
  0.019048,  0.095351
  0.019070,  0.095465
  0.019093,  0.095578
  0.019116,  0.095692
  0.019138,  0.095805
  0.019161,  0.095918
  0.019184,  0.096032
  0.019206,  0.096145
  0.019229,  0.096259
  0.019252,  0.096372
  0.019274,  0.096485
  0.019297,  0.096599
  0.019320, -0.096712
  0.019342, -0.096825
  0.019365, -0.096939
  0.019388, -0.097052
  0.019410, -0.097166
  0.019433, -0.097279
  0.019456, -0.097392
  0.019478, -0.097506
